images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/target.png,0,0,0,0,10.039237944001798,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,1,1,1,10.592060488997959,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,2,2,2,11.19034757296322,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,3,3,3,11.802527941006701,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,4,4,4,12.376392040983774,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,5,5,5,12.990332785993814,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,6,6,6,13.589382244972512,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,7,7,7,14.190509187988937,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,8,8,8,14.788114866008982,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,0,9,9,9,15.377778518013656,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,0,10,0,15.987181140983012,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,1,11,1,16.585005674976856,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,2,12,2,17.190672102966346,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,3,13,3,17.790484349010512,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,4,14,4,18.389402953966055,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,5,15,5,18.991148429980967,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,6,16,6,19.590980876993854,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
images/target.png,1,7,17,7,20.18049247795716,None,,001,2022_Jan_07_1205,Sarah,2021.2.3,60.21703229821026,
