images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/target.png,0,0,0,0,14.465927800000003,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,1,1,1,20.430139499999996,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,2,2,2,26.43686629999999,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,3,3,3,32.4438715,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,4,4,4,38.434960399999994,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,5,5,5,44.43466029999999,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,6,6,6,50.4382349,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,7,7,7,56.4368164,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,8,8,8,62.44034959999999,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
images/target.png,0,9,9,9,68.43916010000001,None,,001,2022_Jan_10_1835,Sarah,2021.2.3,240.2194645027946,
