1.3384 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.8723 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
8.9989 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FBE0859390>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FBE08A4A58>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9994 	EXP 	window1: mouseVisible = True
8.9995 	EXP 	window1: recordFrameIntervals = False
9.0397 	EXP 	window1: recordFrameIntervals = True
9.0853 	EXP 	window1: recordFrameIntervals = False
9.3005 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.4492 	EXP 	Imported conditions.xlsx as conditions, 10 conditions, 1 params
9.4510 	EXP 	Created sequence: random, trialTypes=10, nReps=180, seed=None
9.4518 	EXP 	New trial (rep=0, index=0): {'images': 'images/target.png'}
9.5195 	EXP 	image: image = 'images/target.png'
14.5111 	DATA 	Mouse: Left button down, pos=(861,530)
14.5152 	EXP 	image: autoDraw = True
14.7296 	DATA 	Mouse:  Left button up, pos=(861,530)
15.4470 	EXP 	New trial (rep=0, index=1): {'images': 'images/target.png'}
15.4767 	EXP 	image: autoDraw = False
15.4767 	EXP 	image: image = 'images/target.png'
20.4740 	EXP 	image: autoDraw = True
21.4474 	EXP 	New trial (rep=0, index=2): {'images': 'images/target.png'}
21.4859 	EXP 	image: autoDraw = False
21.4859 	EXP 	image: image = 'images/target.png'
26.4832 	EXP 	image: autoDraw = True
27.4507 	EXP 	New trial (rep=0, index=3): {'images': 'images/target.png'}
27.5023 	EXP 	image: autoDraw = False
27.5023 	EXP 	image: image = 'images/target.png'
32.4983 	EXP 	image: autoDraw = True
33.4500 	EXP 	New trial (rep=0, index=4): {'images': 'images/target.png'}
33.4880 	EXP 	image: autoDraw = False
33.4880 	EXP 	image: image = 'images/target.png'
38.4821 	EXP 	image: autoDraw = True
39.4509 	EXP 	New trial (rep=0, index=5): {'images': 'images/target.png'}
39.4816 	EXP 	image: autoDraw = False
39.4816 	EXP 	image: image = 'images/target.png'
44.4762 	EXP 	image: autoDraw = True
45.4476 	EXP 	New trial (rep=0, index=6): {'images': 'images/target.png'}
45.4851 	EXP 	image: autoDraw = False
45.4851 	EXP 	image: image = 'images/target.png'
50.4820 	EXP 	image: autoDraw = True
51.4472 	EXP 	New trial (rep=0, index=7): {'images': 'images/target.png'}
51.4869 	EXP 	image: autoDraw = False
51.4869 	EXP 	image: image = 'images/target.png'
56.4843 	EXP 	image: autoDraw = True
57.4503 	EXP 	New trial (rep=0, index=8): {'images': 'images/target.png'}
57.4892 	EXP 	image: autoDraw = False
57.4892 	EXP 	image: image = 'images/target.png'
62.4852 	EXP 	image: autoDraw = True
63.4476 	EXP 	New trial (rep=0, index=9): {'images': 'images/target.png'}
63.4862 	EXP 	image: autoDraw = False
63.4862 	EXP 	image: image = 'images/target.png'
68.4835 	EXP 	image: autoDraw = True
69.4484 	EXP 	New trial (rep=1, index=0): {'images': 'images/target.png'}
69.4857 	EXP 	image: autoDraw = False
69.4857 	EXP 	image: image = 'images/target.png'
74.4809 	EXP 	image: autoDraw = True
75.4494 	EXP 	New trial (rep=1, index=1): {'images': 'images/target.png'}
75.5021 	EXP 	image: autoDraw = False
75.5021 	EXP 	image: image = 'images/target.png'
80.4987 	EXP 	image: autoDraw = True
81.4502 	EXP 	New trial (rep=1, index=2): {'images': 'images/target.png'}
81.4926 	EXP 	image: autoDraw = False
81.4926 	EXP 	image: image = 'images/target.png'
86.4878 	EXP 	image: autoDraw = True
87.4495 	EXP 	New trial (rep=1, index=3): {'images': 'images/target.png'}
87.4872 	EXP 	image: autoDraw = False
87.4872 	EXP 	image: image = 'images/target.png'
89.2927 	DATA 	Keypress: escape
91.9014 	EXP 	window1: mouseVisible = True
