1.7648 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.8915 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fcb30f8fbe0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fcb30eb0eb8>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.8919 	EXP 	window1: mouseVisible = True
9.8919 	EXP 	window1: recordFrameIntervals = False
10.0551 	EXP 	window1: recordFrameIntervals = True
10.2388 	EXP 	window1: recordFrameIntervals = False
11.9693 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
11.9780 	EXP 	Imported conditions.xlsx as conditions, 10 conditions, 1 params
11.9788 	EXP 	Created sequence: random, trialTypes=10, nReps=5, seed=None
11.9792 	EXP 	New trial (rep=0, index=0): {'images': 'images/target.png'}
12.0761 	EXP 	image: image = 'images/target.png'
12.0761 	EXP 	image: autoDraw = True
12.5735 	EXP 	New trial (rep=0, index=1): {'images': 'images/target.png'}
12.6285 	EXP 	image: autoDraw = False
12.6285 	EXP 	image: image = 'images/target.png'
12.6285 	EXP 	image: autoDraw = True
13.1718 	EXP 	New trial (rep=0, index=2): {'images': 'images/target.png'}
13.2263 	EXP 	image: autoDraw = False
13.2263 	EXP 	image: image = 'images/target.png'
13.2263 	EXP 	image: autoDraw = True
13.7737 	EXP 	New trial (rep=0, index=3): {'images': 'images/target.png'}
13.8383 	EXP 	image: autoDraw = False
13.8383 	EXP 	image: image = 'images/target.png'
13.8383 	EXP 	image: autoDraw = True
14.3723 	EXP 	New trial (rep=0, index=4): {'images': 'images/target.png'}
14.4244 	EXP 	image: autoDraw = False
14.4244 	EXP 	image: image = 'images/target.png'
14.4244 	EXP 	image: autoDraw = True
14.9731 	EXP 	New trial (rep=0, index=5): {'images': 'images/target.png'}
15.0322 	EXP 	image: autoDraw = False
15.0322 	EXP 	image: image = 'images/target.png'
15.0322 	EXP 	image: autoDraw = True
15.5732 	EXP 	New trial (rep=0, index=6): {'images': 'images/target.png'}
15.6343 	EXP 	image: autoDraw = False
15.6343 	EXP 	image: image = 'images/target.png'
15.6343 	EXP 	image: autoDraw = True
16.1744 	EXP 	New trial (rep=0, index=7): {'images': 'images/target.png'}
16.2408 	EXP 	image: autoDraw = False
16.2408 	EXP 	image: image = 'images/target.png'
16.2408 	EXP 	image: autoDraw = True
16.7744 	EXP 	New trial (rep=0, index=8): {'images': 'images/target.png'}
16.8378 	EXP 	image: autoDraw = False
16.8378 	EXP 	image: image = 'images/target.png'
16.8378 	EXP 	image: autoDraw = True
17.3719 	EXP 	New trial (rep=0, index=9): {'images': 'images/target.png'}
17.4243 	EXP 	image: autoDraw = False
17.4243 	EXP 	image: image = 'images/target.png'
17.4243 	EXP 	image: autoDraw = True
17.9740 	EXP 	New trial (rep=1, index=0): {'images': 'images/target.png'}
18.0383 	EXP 	image: autoDraw = False
18.0383 	EXP 	image: image = 'images/target.png'
18.0383 	EXP 	image: autoDraw = True
18.5751 	EXP 	New trial (rep=1, index=1): {'images': 'images/target.png'}
18.6383 	EXP 	image: autoDraw = False
18.6383 	EXP 	image: image = 'images/target.png'
18.6383 	EXP 	image: autoDraw = True
19.1745 	EXP 	New trial (rep=1, index=2): {'images': 'images/target.png'}
19.2391 	EXP 	image: autoDraw = False
19.2391 	EXP 	image: image = 'images/target.png'
19.2391 	EXP 	image: autoDraw = True
19.7723 	EXP 	New trial (rep=1, index=3): {'images': 'images/target.png'}
19.8318 	EXP 	image: autoDraw = False
19.8318 	EXP 	image: image = 'images/target.png'
19.8318 	EXP 	image: autoDraw = True
20.3742 	EXP 	New trial (rep=1, index=4): {'images': 'images/target.png'}
20.4392 	EXP 	image: autoDraw = False
20.4392 	EXP 	image: image = 'images/target.png'
20.4392 	EXP 	image: autoDraw = True
20.9746 	EXP 	New trial (rep=1, index=5): {'images': 'images/target.png'}
21.0396 	EXP 	image: autoDraw = False
21.0396 	EXP 	image: image = 'images/target.png'
21.0396 	EXP 	image: autoDraw = True
21.5746 	EXP 	New trial (rep=1, index=6): {'images': 'images/target.png'}
21.6372 	EXP 	image: autoDraw = False
21.6372 	EXP 	image: image = 'images/target.png'
21.6372 	EXP 	image: autoDraw = True
22.1751 	EXP 	New trial (rep=1, index=7): {'images': 'images/target.png'}
22.2395 	EXP 	image: autoDraw = False
22.2395 	EXP 	image: image = 'images/target.png'
